ReferenceMonth,ReleaseDate,AvailableDate,AbsoluteDifferencePP
2013-07,2013-08-15,2013-08-16,0.039318388156
2013-08,2013-09-17,2013-09-18,0.018367559543
2013-09,2013-10-30,2013-10-31,0.015074738448
2013-10,2013-11-20,2013-11-21,0.036387295357
2013-11,2013-12-17,2013-12-18,0.037072204534
2013-12,2014-01-16,2014-01-17,0.001735619618
2014-01,2014-02-20,2014-02-21,0.021052631579
2014-02,2014-03-18,2014-03-19,0.026349250106
2014-03,2014-04-15,2014-04-16,0.012202875763
2014-04,2014-05-15,2014-05-16,0.047142101483
2014-05,2014-06-17,2014-06-18,0.027111549937
2014-06,2014-07-22,2014-07-23,0.027658626833
2014-07,2014-08-19,2014-08-20,0.007671364236
2014-08,2014-09-17,2014-09-18,0.000388665837
2014-09,2014-10-22,2014-10-23,0.042081324285
2014-10,2014-11-20,2014-11-21,0.035659784368
2014-11,2014-12-17,2014-12-18,0.022355182371
2014-12,2015-01-16,2015-01-19,0.043506730344
2015-01,2015-02-26,2015-02-27,0.010651686930
2015-02,2015-03-24,2015-03-25,0.025129801815
2015-03,2015-04-17,2015-04-20,0.026362609134
2015-04,2015-05-22,2015-05-25,0.000482553823
2015-05,2015-06-18,2015-06-19,0.039932744851
2015-06,2015-07-17,2015-07-20,0.023771203685
2015-07,2015-08-19,2015-08-20,0.030430220357
2015-08,2015-09-16,2015-09-17,0.004920706994
2015-09,2015-10-15,2015-10-16,0.036129747806
2015-10,2015-11-17,2015-11-18,0.029425564264
2015-11,2015-12-15,2015-12-16,0.001797578668
2015-12,2016-01-20,2016-01-21,0.029519786042
2016-01,2016-02-19,2016-02-22,0.026913186169
2016-02,2016-03-16,2016-03-17,0.017799780165
2016-03,2016-04-14,2016-04-15,0.047463778857
2016-04,2016-05-17,2016-05-18,0.025110418894
2016-05,2016-06-16,2016-06-17,0.022266142428
2016-06,2016-07-15,2016-07-18,0.005707389435
2016-07,2016-08-16,2016-08-17,0.035100186881
2016-08,2016-09-16,2016-09-19,0.035447053492
2016-09,2016-10-18,2016-10-19,0.036216352518
2016-10,2016-11-17,2016-11-18,0.035987520918
2016-11,2016-12-15,2016-12-16,0.007462837496
