Feature,Horizon,DiscoveryN,ConfirmationN,ConfirmationUniqueValues,DiscoveryIC,ConfirmationIC,ConfirmationPartialIC,ConfirmationPositiveYears,ConfirmationAnnualIC,ConfirmationBootstrapPositive,ConfirmationScorePositiveN,ConfirmationScoreNonpositiveN,ConfirmationMeanSpread
RealYieldFall,5,65,72,63,0.118007061914,0.084561395267,0.118850086822,3,"{""2019"": -0.21366057284319562, ""2020"": -0.034965034965034975, ""2021"": 0.4098079839779326, ""2022"": 0.45884483676161686, ""2023"": -0.49650349650349657, ""2024"": 0.3846153846153847}",0.752000000000,38,34,0.002005152778
RealYieldFall,20,64,71,63,0.078540026963,0.029948353411,-0.112173038229,3,"{""2019"": -0.29422111670210543, ""2020"": 0.2867132867132868, ""2021"": -0.08406317620060155, ""2022"": -0.2907184843604137, ""2023"": 0.41958041958041964, ""2024"": 0.29090909090909095}",0.588000000000,37,34,0.000883200143
RealYieldFall,60,62,69,61,-0.124951203005,0.100208272703,0.078699305809,2,"{""2019"": -0.26970269031026334, ""2020"": -0.02097902097902098, ""2021"": -0.11908949961751887, ""2022"": -0.1015763379090602, ""2023"": 0.055944055944055944, ""2024"": 0.35}",0.816000000000,36,33,-0.000904648800
CpiVolRise,5,65,72,64,-0.322861919402,0.142735400347,0.152453533989,5,"{""2019"": -0.2491243405669889, ""2020"": 0.1225921319592106, ""2021"": 0.09457107322567675, ""2022"": 0.4561431587846275, ""2023"": 0.14010529366766927, ""2024"": 0.09457107322567675}",0.890000000000,35,37,0.005306487719
CpiVolRise,20,64,71,63,-0.026465504415,0.239486216918,0.284004024145,5,"{""2019"": -0.49123109407575277, ""2020"": 0.5078816895453011, ""2021"": 0.09106844088398502, ""2022"": 0.45263436525551504, ""2023"": 0.024518426391842117, ""2024"": 0.48291697043289755}",0.988000000000,35,36,0.021377564907
CpiVolRise,60,62,69,62,-0.119790486263,0.117417080251,0.189915966387,4,"{""2019"": -0.6807059446478287, ""2020"": 0.6199659244794364, ""2021"": -0.07355527917552636, ""2022"": 0.5298278228959905, ""2023"": 0.09807370556736847, ""2024"": 0.06666666666666667}",0.776000000000,33,36,0.009487488629
CpiOr,5,65,72,2,-0.156733876432,0.121953962444,-0.006206186893,4,"{""2019"": 0.15362746694975676, ""2020"": -0.06477502756312957, ""2021"": -0.13937366833451512, ""2022"": 0.45342519294190703, ""2023"": 0.35846408954943243, ""2024"": 0.12955005512625914}",0.920000000000,55,17,0.001524410781
CpiOr,20,64,71,2,-0.029683969623,0.088576130447,0.031153588196,4,"{""2019"": 0.15362746694975676, ""2020"": -0.2591001102525183, ""2021"": 0.027874733666903025, ""2022"": 0.3886501653787775, ""2023"": 0.0, ""2024"": 0.223606797749979}",0.826000000000,54,17,0.008796630535
CpiOr,60,62,69,2,0.009091535251,-0.079370455391,-0.084764340519,3,"{""2019"": -0.15362746694975676, ""2020"": 0.06477502756312957, ""2021"": 0.19512313566832115, ""2022"": 0.3238751378156479, ""2023"": -0.10241831129983783, ""2024"": -0.20701966780270625}",0.216000000000,52,17,-0.008219640666
PmiBelow50,5,65,72,54,-0.080897945463,0.197735755644,-0.035532831693,4,"{""2019"": 0.055944055944055944, ""2020"": 0.5314685314685316, ""2021"": 0.3409537723896287, ""2022"": 0.18213688176797005, ""2023"": -0.4518395720782334, ""2024"": -0.10507897025075194}",0.960000000000,32,40,0.010107088835
PmiBelow50,20,64,71,54,-0.021433724386,0.200256592436,0.179476861167,5,"{""2019"": 0.15384615384615385, ""2020"": 0.43356643356643365, ""2021"": -0.15114445580158797, ""2022"": 0.18563951410966179, ""2023"": 0.3537658665108649, ""2024"": 0.20956774188597443}",0.986000000000,31,40,0.009513717301
PmiBelow50,60,62,69,53,0.035137655078,0.480668745462,0.161709901352,3,"{""2019"": -0.013986013986013986, ""2020"": 0.8531468531468532, ""2021"": -0.09841964563824333, ""2022"": 0.20665530815981217, ""2023"": -0.43782904271146644, ""2024"": 0.5666666666666667}",1.000000000000,29,40,0.049583992272
PmiDecline,5,65,72,52,-0.012002624672,0.047006417572,0.020033442665,4,"{""2019"": -0.02097902097902098, ""2020"": 0.143607926009361, ""2021"": 0.3356643356643357, ""2022"": 0.06993006993006995, ""2023"": -0.32867132867132864, ""2024"": 0.006993006993006993}",0.680000000000,41,31,0.001858418381
PmiDecline,20,64,71,51,-0.038204310009,0.120985462483,0.095741113347,4,"{""2019"": -0.027972027972027972, ""2020"": 0.021015794050150388, ""2021"": -0.15384615384615385, ""2022"": 0.5874125874125874, ""2023"": 0.1258741258741259, ""2024"": 0.05454545454545456}",0.806000000000,41,30,0.007557510430
PmiDecline,60,62,69,50,-0.021917395991,0.133623252263,0.084252831567,5,"{""2019"": -0.1328671328671329, ""2020"": 0.2521895286018047, ""2021"": 0.06993006993006995, ""2022"": 0.49650349650349657, ""2023"": 0.16083916083916086, ""2024"": 0.03333333333333333}",0.904000000000,40,29,0.012273733660
PmiOr,5,65,72,2,-0.016417550575,0.310215107067,0.238021737732,4,"{""2019"": 0.3886501653787775, ""2020"": 0.17137861409939506, ""2021"": 0.5141358422981853, ""2022"": 0.5853694070049635, ""2023"": null, ""2024"": -0.2183565733705734}",0.998000000000,54,18,0.011746573262
PmiOr,20,64,71,2,0.068545804242,0.263826027727,0.224446680080,4,"{""2019"": 0.3886501653787775, ""2020"": 0.17137861409939506, ""2021"": -0.1224132957852822, ""2022"": 0.5853694070049635, ""2023"": null, ""2024"": 0.30000000000000004}",0.980000000000,53,18,0.020086882354
PmiOr,60,62,69,2,0.047868005895,0.334747371481,0.165801972963,5,"{""2019"": 0.06477502756312957, ""2020"": 0.4162052056699595, ""2021"": 0.024482659157056438, ""2022"": 0.4181210050035454, ""2023"": null, ""2024"": 0.5477225575051661}",1.000000000000,51,18,0.048326871815
DeficitMA12Increase,5,59,72,71,0.269908530464,0.035806449021,-0.036722618818,3,"{""2019"": -0.07355527917552636, ""2020"": -0.41958041958041964, ""2021"": 0.09090909090909093, ""2022"": 0.4755244755244756, ""2023"": -0.06993006993006995, ""2024"": 0.1188811188811189}",0.570000000000,41,31,-0.000973844885
DeficitMA12Increase,20,58,71,70,0.238956564651,0.109407355867,0.079845741113,4,"{""2019"": -0.143607926009361, ""2020"": 0.013986013986013986, ""2021"": -0.04895104895104895, ""2022"": 0.6853146853146854, ""2023"": 0.06293706293706294, ""2024"": 0.10909090909090911}",0.862000000000,40,31,0.004815000325
DeficitMA12Increase,60,56,69,68,0.152089955316,0.070899441905,0.066496163683,3,"{""2019"": -0.10858160259244368, ""2020"": -0.18881118881118883, ""2021"": 0.055944055944055944, ""2022"": 0.8321678321678322, ""2023"": -0.18181818181818185, ""2024"": 0.18333333333333335}",0.710000000000,39,30,0.018619156934
StockBondCorrProxy,5,58,72,2,-0.141413482554,-0.043445715013,-0.008071258602,2,"{""2019"": 0.13937366833451512, ""2020"": -0.06477502756312957, ""2021"": 0.04367131467411468, ""2022"": -0.027874733666903025, ""2023"": null, ""2024"": null}",0.268000000000,9,63,-0.000725876524
StockBondCorrProxy,20,57,71,2,-0.128200832648,0.076429317142,0.097585513078,2,"{""2019"": 0.2508726030021272, ""2020"": 0.3238751378156479, ""2021"": -0.2183565733705734, ""2022"": -0.2508726030021272, ""2023"": null, ""2024"": null}",0.748000000000,9,62,0.011265602835
StockBondCorrProxy,60,55,69,2,0.242091013068,0.010803395393,0.068030690537,2,"{""2019"": 0.19512313566832115, ""2020"": 0.06477502756312957, ""2021"": -0.4803844614152615, ""2022"": -0.13937366833451512, ""2023"": null, ""2024"": null}",0.522000000000,9,60,-0.003512836644
