segment_id,oracle_state,start,end,sessions,representative,strategy_exposure,state_agreement,segment_open_log_return,strategy_held_open_log_return
1,0,2014-07-31,2015-08-03,247,P02_REGIME_RECOVERY,0.392712550607,0.607287449393,-0.173984315356,0.013367054967
1,0,2014-07-31,2015-08-03,247,P06_CORE_CARRY_REGIME_VETO,0.489878542510,0.510121457490,-0.173984315356,-0.006945990355
2,1,2015-08-04,2020-08-06,1220,P02_REGIME_RECOVERY,0.572950819672,0.572950819672,0.708253899527,0.565459784410
2,1,2015-08-04,2020-08-06,1220,P06_CORE_CARRY_REGIME_VETO,0.948360655738,0.948360655738,0.708253899527,0.703861505935
3,0,2020-08-07,2021-03-04,138,P02_REGIME_RECOVERY,0.000000000000,1.000000000000,-0.238769316401,0.000000000000
3,0,2020-08-07,2021-03-04,138,P06_CORE_CARRY_REGIME_VETO,0.543478260870,0.456521739130,-0.238769316401,-0.200939120973
4,1,2021-03-05,2024-10-30,886,P02_REGIME_RECOVERY,0.683972911964,0.683972911964,0.571535075456,0.539275008950
4,1,2021-03-05,2024-10-30,886,P06_CORE_CARRY_REGIME_VETO,1.000000000000,1.000000000000,0.571535075456,0.571535075456
5,0,2024-10-31,2024-12-31,44,P02_REGIME_RECOVERY,0.681818181818,0.318181818182,-0.037502320729,0.002370070519
5,0,2024-10-31,2024-12-31,44,P06_CORE_CARRY_REGIME_VETO,1.000000000000,0.000000000000,-0.037502320729,-0.037502320729
