Date,PeerFlow5,OwnFlow5,Forward5,ExitDate5,PeerFlow20,OwnFlow20,Forward20,ExitDate20,PeerFlow60,OwnFlow60,Forward60,ExitDate60,rate_us_real_10y_level,rate_us_real_10y_change_20d,currency_usdcnh_return_20d,price_return_20d
2013-07-29,,,-0.004559270517,2013-08-06,,,0.053191489362,2013-08-27,,,-0.005319148936,2013-10-31,,,,
2013-07-30,,,-0.030646992054,2013-08-07,,,0.063185773742,2013-08-28,,,-0.018161180477,2013-11-01,0.450000000000,,,
2013-07-31,,,-0.024500565398,2013-08-08,,,0.058424425179,2013-08-29,,,-0.018846588767,2013-11-04,0.460000000000,,,
2013-08-01,,,-0.001901140684,2013-08-09,,,0.057414448669,2013-08-30,,,-0.017110266160,2013-11-05,0.380000000000,,,
2013-08-02,,,0.013353681801,2013-08-12,,,0.056848531095,2013-09-02,,,-0.016024418161,2013-11-06,0.480000000000,,,
2013-08-05,,,0.016030534351,2013-08-13,,,0.057251908397,2013-09-03,,,-0.015267175573,2013-11-07,0.420000000000,,,
2013-08-06,-0.353048031631,-0.684479405079,0.030444964871,2013-08-14,,,0.089383294301,2013-09-04,,,0.007025761124,2013-11-08,0.420000000000,,,
2013-08-07,-0.224312860966,-0.557639663388,0.035548686244,2013-08-15,,,0.068392581144,2013-09-05,,,-0.020479134467,2013-11-11,0.390000000000,,,
2013-08-08,-0.082109020612,-0.399880475287,0.040000000000,2013-08-16,,,0.040000000000,2013-09-06,,,-0.037333333333,2013-11-12,0.350000000000,,,
2013-08-09,-0.061837546875,-0.286368843070,0.031626506024,2013-08-19,,,0.035768072289,2013-09-09,,,-0.057605421687,2013-11-13,0.340000000000,,,
2013-08-12,-0.078125113028,-0.241384010723,0.023666416228,2013-08-20,,,0.035311795642,2013-09-10,,,-0.058602554470,2013-11-14,0.330000000000,,,
2013-08-13,-0.027985118136,-0.213532382650,0.030303030303,2013-08-21,,,0.027272727273,2013-09-11,,,-0.045075757576,2013-11-15,0.370000000000,,,
2013-08-14,-0.079291168052,-0.219650087860,0.013805970149,2013-08-22,,,0.012686567164,2013-09-12,,,-0.056343283582,2013-11-18,0.480000000000,,,
2013-08-15,-0.084745895709,-0.109835393357,0.000366300366,2013-08-23,,,-0.027472527473,2013-09-13,,,-0.076923076923,2013-11-19,0.500000000000,,,
2013-08-16,-0.094162106344,-0.167201712146,0.010948905109,2013-08-26,,,-0.037956204380,2013-09-16,,,-0.087226277372,2013-11-20,0.600000000000,,,
2013-08-19,-0.094162106344,-0.153479875419,0.017247706422,2013-08-27,,,-0.040366972477,2013-09-17,,,-0.086972477064,2013-11-21,0.680000000000,,,
2013-08-20,-0.134357220661,-0.141656435924,0.033088235294,2013-08-28,,,-0.049632352941,2013-09-18,,,-0.094485294118,2013-11-22,0.750000000000,,,
2013-08-21,-0.086119699628,-0.110142941061,0.033492822967,2013-08-29,,,-0.036437246964,2013-09-23,,,-0.095693779904,2013-11-25,0.670000000000,,,
2013-08-22,-0.072016584391,-0.131613582522,0.018308311974,2013-08-30,,,-0.037715122666,2013-09-24,,,-0.103258879531,2013-11-26,0.730000000000,,,
2013-08-23,-0.062370170426,-0.058000499697,0.000000000000,2013-09-02,,,-0.053429602888,2013-09-25,,,-0.115523465704,2013-11-27,0.790000000000,,,
2013-08-26,-0.062370170426,-0.066331764956,-0.000721500722,2013-09-03,,,-0.049062049062,2013-09-26,,,-0.117604617605,2013-11-28,0.690000000000,,,0.055597867479
2013-08-27,0.000000000000,-0.036674368284,-0.006761565836,2013-09-04,-0.455643186123,-0.794816313458,-0.065836298932,2013-09-27,,,-0.131672597865,2013-11-29,0.640000000000,0.190000000000,-0.003496418005,0.050264550265
2013-08-28,-0.177383919778,0.018337184142,-0.015313390313,2013-09-05,-0.463097519413,-0.687192312458,-0.062321937322,2013-09-30,,,-0.129629629630,2013-12-02,0.570000000000,0.110000000000,-0.003299219399,0.063981934513
2013-08-29,-0.177383919778,0.113670809336,-0.018338727077,2013-09-06,-0.358686774253,-0.483372003094,-0.051420352391,2013-10-08,,,-0.129449838188,2013-12-03,0.630000000000,0.250000000000,-0.002511235332,0.057888762770
2013-08-30,-0.177383919778,0.184715065171,-0.006859205776,2013-09-09,-0.344523475447,-0.336748546943,-0.052346570397,2013-10-09,,,-0.129602888087,2013-12-04,0.650000000000,0.170000000000,-0.002381515332,0.081070597362
2013-09-02,-0.360311087049,0.307858441952,-0.005054151625,2013-09-10,-0.499132666569,-0.215825703705,-0.065703971119,2013-10-10,,,-0.122382671480,2013-12-05,0.680000000000,0.260000000000,-0.001452871462,0.052091254753
2013-09-03,-0.360311087049,0.399741120037,-0.028305266929,2013-09-11,-0.461754449245,-0.089745494157,-0.077749910426,2013-10-11,,,-0.134360444285,2013-12-06,0.680000000000,0.260000000000,-0.001298563413,0.065997684292
2013-09-04,-0.222372467144,0.369143227572,-0.018444846293,2013-09-12,-0.461754449245,-0.031833346067,-0.081374321881,2013-10-14,,,-0.123327305606,2013-12-09,0.760000000000,0.370000000000,-0.000746795479,0.082750582751
2013-09-05,-0.222372467144,0.463561513337,-0.027472527473,2013-09-13,-0.456686215766,0.259943764279,-0.070329670330,2013-10-15,,,-0.109890109890,2013-12-10,0.830000000000,0.480000000000,-0.000787845602,0.063805104408
2013-09-06,-0.222372467144,0.379793392395,-0.041802980734,2013-09-16,-0.456686215766,0.282385113846,-0.076699382043,2013-10-16,,,-0.105416212286,2013-12-11,0.920000000000,0.580000000000,0.000175826836,0.041666666667
2013-09-09,0.000000000000,0.249876872266,-0.051161103048,2013-09-17,-0.456686215766,0.291986104456,-0.074020319303,2013-10-17,,,-0.109579100145,2013-12-12,0.870000000000,0.540000000000,-0.001073653970,0.036479879654
