Relation,Era,Driver,N,SpearmanRho
contemporaneous,early,real_yield,60,-0.4519204158164637
contemporaneous,early,usdcnh,60,-0.044679077521533765
contemporaneous,early,equity_risk,60,0.0011669908307863298
contemporaneous,early,etf_flow,60,-0.16132258960822454
contemporaneous,early,gold_anchor,60,0.9192553487079744
contemporaneous,middle,real_yield,36,-0.5808488803497145
contemporaneous,middle,usdcnh,36,0.1891891891891892
contemporaneous,middle,equity_risk,36,0.07078507078507079
contemporaneous,middle,etf_flow,36,0.028056628056628057
contemporaneous,middle,gold_anchor,36,0.9191763191763193
contemporaneous,late,real_yield,36,-0.3286119416061657
contemporaneous,late,usdcnh,36,-0.1758043758043758
contemporaneous,late,equity_risk,36,0.16190476190476194
contemporaneous,late,etf_flow,36,-0.0797940797940798
contemporaneous,late,gold_anchor,36,0.9225225225225225
contemporaneous,oil_before,domestic_oil,44,-0.3162790697674418
contemporaneous,oil_after,domestic_oil,36,0.275933075933076
predictive,early,real_yield,60,0.09515869280828804
predictive,early,usdcnh,60,-0.019616560155598782
predictive,early,equity_risk,60,-0.22228396776882473
predictive,early,etf_flow,60,0.11714365101417064
predictive,early,gold_anchor,60,-0.16882467352042238
predictive,middle,real_yield,36,-0.053190817646215534
predictive,middle,usdcnh,36,0.37709137709137713
predictive,middle,equity_risk,36,-0.20926640926640927
predictive,middle,etf_flow,36,-0.10913770913770915
predictive,middle,gold_anchor,36,0.10733590733590735
predictive,late,real_yield,35,0.012891474961716201
predictive,late,usdcnh,35,0.027170868347338936
predictive,late,equity_risk,35,-0.08795518207282914
predictive,late,etf_flow,35,0.07226890756302522
predictive,late,gold_anchor,35,-0.09831932773109245
predictive,oil_before,domestic_oil,44,-0.20831571529245949
predictive,oil_after,domestic_oil,35,0.03865546218487395
