Quarter,Representative,LeadDate,Lead_price_return_20d,Lead_gold_sge_return_20d,Lead_currency_usdcnh_return_20d,Lead_rate_us_real_10y_change_20d,Lead_risk_sse_return_20d,MissedPositiveSessions,KnownPriorPriceGoldSessions,PriorPriceGoldBothPositiveSessions,PriorPriceGoldBothPositiveShare,MissingPriorPriceGoldSessions
2016Q1,P02_REGIME_RECOVERY,2016-01-04,0.022914757104,0.017729210121,0.018682963526,0.150000000000,-0.012731951086,7,7,2,0.285714285714,0
2016Q1,P06_CORE_CARRY_REGIME_VETO,2016-01-04,0.022914757104,0.017729210121,0.018682963526,0.150000000000,-0.012731951086,0,0,0,,0
2020Q2,P02_REGIME_RECOVERY,2020-04-01,0.014140271493,0.013786764706,0.016767544343,0.060000000000,-0.081058792271,21,21,21,1.000000000000,0
2020Q2,P06_CORE_CARRY_REGIME_VETO,2020-04-01,0.014140271493,0.013786764706,0.016767544343,0.060000000000,-0.081058792271,0,0,0,,0
2019Q3,P02_REGIME_RECOVERY,2019-07-01,0.092026694766,0.087290865634,-0.008896671393,-0.170000000000,0.025147244891,19,19,16,0.842105263158,0
2019Q3,P06_CORE_CARRY_REGIME_VETO,2019-07-01,0.092026694766,0.087290865634,-0.008896671393,-0.170000000000,0.025147244891,0,0,0,,0
2024Q1,P02_REGIME_RECOVERY,2024-01-02,0.012856831554,0.017192641971,0.000204237901,-0.460000000000,-0.018703104113,13,13,8,0.615384615385,0
2024Q1,P06_CORE_CARRY_REGIME_VETO,2024-01-02,0.012856831554,0.017192641971,0.000204237901,-0.460000000000,-0.018703104113,0,0,0,,0
2016Q2,P02_REGIME_RECOVERY,2016-04-01,-0.026366068017,0.000077321580,-0.011000565032,-0.150000000000,0.050408807290,22,22,10,0.454545454545,0
2016Q2,P06_CORE_CARRY_REGIME_VETO,2016-04-01,-0.026366068017,0.000077321580,-0.011000565032,-0.150000000000,0.050408807290,0,0,0,,0
2019Q2,P02_REGIME_RECOVERY,2019-04-01,-0.013446567587,0.001643241731,0.005400276876,-0.220000000000,0.032315577295,4,4,2,0.500000000000,0
2019Q2,P06_CORE_CARRY_REGIME_VETO,2019-04-01,-0.013446567587,0.001643241731,0.005400276876,-0.220000000000,0.032315577295,0,0,0,,0
2024Q3,P02_REGIME_RECOVERY,2024-07-01,-0.003761519654,-0.021376133583,0.006494057110,-0.220000000000,-0.040196620747,0,0,0,,0
2024Q3,P06_CORE_CARRY_REGIME_VETO,2024-07-01,-0.003761519654,-0.021376133583,0.006494057110,-0.220000000000,-0.040196620747,0,0,0,,0
2023Q1,P02_REGIME_RECOVERY,2023-01-03,0.001759235989,-0.000711691371,-0.013464957772,0.390000000000,-0.021192409396,14,14,6,0.428571428571,0
2023Q1,P06_CORE_CARRY_REGIME_VETO,2023-01-03,0.001759235989,-0.000711691371,-0.013464957772,0.390000000000,-0.021192409396,0,0,0,,0
2018Q4,P02_REGIME_RECOVERY,2018-10-08,-0.006815600151,0.002295908766,0.009604355382,0.140000000000,0.030541067006,17,17,9,0.529411764706,0
2018Q4,P06_CORE_CARRY_REGIME_VETO,2018-10-08,-0.006815600151,0.002295908766,0.009604355382,0.140000000000,0.030541067006,0,0,0,,0
2022Q1,P02_REGIME_RECOVERY,2022-01-04,0.021592821088,0.011598960471,0.000502923784,-0.030000000000,0.008965712509,0,0,0,,0
2022Q1,P06_CORE_CARRY_REGIME_VETO,2022-01-04,0.021592821088,0.011598960471,0.000502923784,-0.030000000000,0.008965712509,0,0,0,,0
