Quarter,Representative,FirstDate,LastDate,Sessions,BuyHoldLogReturn,HeldLogReturn,Exposure,CashSessions,MissedPositiveLogReturn,AvoidedNegativeLogReturn,NetCashOpportunityGap,Early20CashSessions,LongestCashRun,FirstHeldDelay,Top10Upside
2014Q3,P02_REGIME_RECOVERY,2014-07-31,2014-09-30,43,-0.064848646741,-0.002890772197,0.046511627907,41,0.049605465159,0.111563339703,-0.061957874544,20,41,41.000000000000,False
2014Q3,P06_CORE_CARRY_REGIME_VETO,2014-07-31,2014-09-30,43,-0.064848646741,0.001549186987,0.046511627907,41,0.046116413355,0.112514247082,-0.066397833728,18,41,0.000000000000,False
2014Q4,P02_REGIME_RECOVERY,2014-10-08,2014-12-31,61,-0.002069965550,-0.002069965550,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2014Q4,P06_CORE_CARRY_REGIME_VETO,2014-10-08,2014-12-31,61,-0.002069965550,0.069496224718,0.639344262295,22,0.019287644359,0.090853834627,-0.071566190268,20,22,22.000000000000,False
2015Q1,P02_REGIME_RECOVERY,2015-01-05,2015-03-31,57,-0.019670021087,0.076561888562,0.298245614035,40,0.051773303705,0.148005213354,-0.096231909649,3,40,0.000000000000,False
2015Q1,P06_CORE_CARRY_REGIME_VETO,2015-01-05,2015-03-31,57,-0.019670021087,-0.019670021087,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2015Q2,P02_REGIME_RECOVERY,2015-04-01,2015-06-30,62,-0.009768606031,0.000000000000,0.000000000000,62,0.124567674124,0.134336280154,-0.009768606031,20,62,,False
2015Q2,P06_CORE_CARRY_REGIME_VETO,2015-04-01,2015-06-30,62,-0.009768606031,0.002954211897,0.145161290323,53,0.099004363163,0.111727181091,-0.012722817928,11,53,0.000000000000,False
2015Q3,P02_REGIME_RECOVERY,2015-07-01,2015-09-30,64,-0.003420268405,0.020246222472,0.843750000000,10,0.044588459966,0.068254950842,-0.023666490876,7,7,7.000000000000,False
2015Q3,P06_CORE_CARRY_REGIME_VETO,2015-07-01,2015-09-30,64,-0.003420268405,0.012931214672,0.843750000000,10,0.036433159911,0.052784642988,-0.016351483077,10,10,10.000000000000,False
2015Q4,P02_REGIME_RECOVERY,2015-10-08,2015-12-31,61,-0.043770663055,-0.002234637801,0.540983606557,28,0.053371062497,0.094907087751,-0.041536025254,20,28,28.000000000000,False
2015Q4,P06_CORE_CARRY_REGIME_VETO,2015-10-08,2015-12-31,61,-0.043770663055,-0.043770663055,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,False
2016Q1,P02_REGIME_RECOVERY,2016-01-04,2016-03-31,59,0.133027910194,0.141608306050,0.796610169492,12,0.044992664364,0.053573060221,-0.008580395856,0,12,0.000000000000,True
2016Q1,P06_CORE_CARRY_REGIME_VETO,2016-01-04,2016-03-31,59,0.133027910194,0.133027910194,1.000000000000,0,0.000000000000,-0.000000000000,0.000000000000,0,0,0.000000000000,True
