Horizon,State,Variant,EvaluationN,StateRuns,BaselineMSE,ExtendedMSE,DeltaMSE,CI95Lower,CI95Upper,PValue,BaselineRankIC,ExtendedRankIC,BaselineQuintileSpread,ExtendedQuintileSpread,BaselineUpsideCaptureProxy,ExtendedUpsideCaptureProxy,BaselineDownsideAvoidanceProxy,ExtendedDownsideAvoidanceProxy,PositiveYears,EvaluableYears,Status,QValue,ExploratoryClue
20,START,PRICE+SGE,148,35,0.0014346808691885914,0.0014230727719213778,1.1608097267213548e-05,-0.0002232663902404023,0.0002555753997074563,0.4587706146926537,-0.3117069410216717,-0.10608330780618436,-0.018926746785786357,-0.010122730651604723,0.9700960498112118,0.8250772457306821,0.0,0.0735556073978028,4,6,ESTIMATED,0.9645177411294353,False
20,START,PRICE+FX,148,35,0.0014346808691885914,0.0013872857074746913,4.7395161713900296e-05,-3.344671886491623e-05,0.00014251843217104023,0.1539230384807596,-0.3117069410216717,-0.2886649076811407,-0.018926746785786357,-0.02291519913521251,0.9700960498112118,0.9500454493861761,0.0,0.04255927479381931,2,6,ESTIMATED,0.9645177411294353,False
20,START,PRICE+SGE+FX,148,35,0.0014346808691885914,0.0013589462937428655,7.573457544572588e-05,-0.0001820290512969725,0.0003559126827594344,0.2748625687156422,-0.3117069410216717,-0.04650237333500674,-0.018926746785786357,-0.006420898528296505,0.9700960498112118,0.8250772457306821,0.0,0.169134246871138,3,6,ESTIMATED,0.9645177411294353,False
20,PERSIST,PRICE+SGE,762,66,0.001427270427719155,0.0014727570734545134,-4.5486645735358425e-05,-0.00014385886819981216,2.9380033566354303e-05,0.8385807096451774,0.11189572265781894,0.08795575342170585,0.0019590866694960216,-0.004627263670077228,0.594786248804468,0.6355233083248346,0.5322540311241254,0.47686588947308156,2,6,ESTIMATED,0.9645177411294353,False
20,PERSIST,PRICE+FX,762,66,0.001427270427719155,0.0014275893211161874,-3.1889339703241273e-07,-8.173402849277619e-05,9.213779765694642e-05,0.48425787106446777,0.11189572265781894,0.10907360001416853,0.0019590866694960216,0.005024642424315941,0.594786248804468,0.5959810277072002,0.5322540311241254,0.5183505607155864,4,6,ESTIMATED,0.9645177411294353,False
20,PERSIST,PRICE+SGE+FX,762,66,0.001427270427719155,0.0014960531484305602,-6.878272071140545e-05,-0.0002359315602121626,7.62659499832571e-05,0.7956021989005497,0.11189572265781894,0.07839604146676564,0.0019590866694960216,-0.00107799373996912,0.594786248804468,0.6146544694969573,0.5322540311241254,0.5172382451268888,3,6,ESTIMATED,0.9645177411294353,False
20,PULLBACK,PRICE+SGE,280,63,0.0015967520869039989,0.0016394867308898936,-4.2734643985894444e-05,-0.0002755069694968744,0.00011922046257899665,0.6601699150424788,-0.028127545358632492,0.10174929344944268,-0.004072370010206823,0.006988581125242458,0.1859942119648333,0.2535312050481792,0.6533342845272092,0.8001225663399141,4,6,ESTIMATED,0.9645177411294353,False
20,PULLBACK,PRICE+FX,280,63,0.0015967520869039989,0.001600332203950855,-3.5801170468560145e-06,-0.00012095354017581997,9.531728544310802e-05,0.5102448775612194,-0.028127545358632492,-0.029585472117902377,-0.004072370010206823,0.0024934350545988615,0.1859942119648333,0.2270386961013213,0.6533342845272092,0.6139220592815191,4,6,ESTIMATED,0.9645177411294353,False
20,PULLBACK,PRICE+SGE+FX,280,63,0.0015967520869039989,0.0016407313128078847,-4.3979225903885943e-05,-0.000247691925995256,0.00015352624047791524,0.6476761619190404,-0.028127545358632492,0.08171277694868556,-0.004072370010206823,0.00877422837929591,0.1859942119648333,0.2874439646622754,0.6533342845272092,0.7282901513379737,3,6,ESTIMATED,0.9645177411294353,False
20,WEAK,PRICE+SGE,245,38,0.0009477232889218112,0.0009980158789254384,-5.0292590003627496e-05,-0.00011016971703176164,-4.245856235274063e-06,0.9560219890054973,0.1057120224791784,0.05294291527122227,0.007404075405740916,0.004673323945712928,0.7565991526654758,0.747841942730431,0.06584334082588167,0.08766930369340774,1,6,ESTIMATED,0.9645177411294353,False
20,WEAK,PRICE+FX,245,38,0.0009477232889218112,0.000944057498793208,3.6657901286029772e-06,-3.313403777642251e-05,3.870337383192974e-05,0.4237881059470265,0.1057120224791784,0.1154868900372304,0.007404075405740916,0.012361216387551699,0.7565991526654758,0.766185028894931,0.06584334082588167,0.109284799093641,2,6,ESTIMATED,0.9645177411294353,False
20,WEAK,PRICE+SGE+FX,245,38,0.0009477232889218112,0.000989422550017329,-4.169926109551806e-05,-9.554872740634733e-05,2.702981212117804e-06,0.9480259870064968,0.1057120224791784,0.05831219722564101,0.007404075405740916,0.00951958121800452,0.7565991526654758,0.7425092263861148,0.06584334082588167,0.16178841170463845,2,6,ESTIMATED,0.9645177411294353,False
60,START,PRICE+SGE,148,35,0.005606987188436527,0.005624397911625561,-1.7410723189034263e-05,-8.864582631602571e-05,6.421633224666589e-05,0.6871564217891054,-0.4065640767462436,-0.3758759444281976,-0.07891188162194858,-0.06668520885183196,0.582459350492907,0.5936925722440274,0.08642953938470482,0.1238781533600042,3,6,ESTIMATED,0.9645177411294353,False
60,START,PRICE+FX,148,35,0.005606987188436527,0.0049700711808410335,0.0006369160075954935,-6.814554642126704e-05,0.001587643159340369,0.08345827086456771,-0.4065640767462436,-0.030680728667305854,-0.07891188162194858,-0.003068269586605478,0.582459350492907,0.6000920762574219,0.08642953938470482,0.2726262047632293,3,6,ESTIMATED,0.9645177411294353,False
60,START,PRICE+SGE+FX,148,35,0.005606987188436527,0.004968436252182393,0.0006385509362541338,-9.734618116244412e-05,0.0015766831795307383,0.0814592703648176,-0.4065640767462436,-0.000899543564931868,-0.07891188162194858,-0.0007108152818353364,0.582459350492907,0.6116713171805291,0.08642953938470482,0.4260823957346813,3,6,ESTIMATED,0.9645177411294353,False
60,PERSIST,PRICE+SGE,735,65,0.004600517518847932,0.004756990720627194,-0.00015647320177926207,-0.00038590203994407044,-2.2277028690402678e-05,0.9235382308845578,-0.0649472090862627,-0.06623340269911772,-0.02349720272953161,-0.01924857194896383,0.7283764975687939,0.7277125398142127,0.12954487552481997,0.15028772567147464,0,6,ESTIMATED,0.9645177411294353,False
60,PERSIST,PRICE+FX,735,65,0.004600517518847932,0.004658448629412714,-5.793111056478221e-05,-0.0004004209412086075,0.0002924150199306445,0.6401799100449775,-0.0649472090862627,-0.03559353486319156,-0.02349720272953161,-0.003956389778913584,0.7283764975687939,0.7544376616391656,0.12954487552481997,0.17015640813854452,3,6,ESTIMATED,0.9645177411294353,False
60,PERSIST,PRICE+SGE+FX,735,65,0.004600517518847932,0.004856404093337489,-0.00025588657448955725,-0.0007604364145604505,0.00019725764178585897,0.8530734632683659,-0.0649472090862627,-0.04322337070777723,-0.02349720272953161,-0.006836887820593003,0.7283764975687939,0.7565087793789812,0.12954487552481997,0.19401772747473736,2,6,ESTIMATED,0.9645177411294353,False
60,PULLBACK,PRICE+SGE,267,61,0.006386797671318762,0.006628131581057296,-0.0002413339097385332,-0.0006058182620422756,-1.920840209629556e-05,0.9185407296351824,0.012709326561414437,0.01710989699639002,-0.004490742773228817,0.003550298189289526,0.19782720445911842,0.1831861774390822,0.7597574145472367,0.7480757649987794,2,6,ESTIMATED,0.9645177411294353,False
