Horizon,Year,State,Variant,TrainingN,EvaluationN,DesignRank,ConditionNumber,Identifiable
20,2019,START,PRICE,236,33,6,2.2553384331133244,True
20,2019,START,PRICE+SGE,236,33,9,5.4600953275996496,True
20,2019,START,PRICE+FX,236,33,7,2.36516968085349,True
20,2019,START,PRICE+SGE+FX,236,33,10,5.582605096115055,True
20,2019,PERSIST,PRICE,333,115,6,3.544660114537463,True
20,2019,PERSIST,PRICE+SGE,333,115,9,10.311394424957383,True
20,2019,PERSIST,PRICE+FX,333,115,7,3.8586017033786537,True
20,2019,PERSIST,PRICE+SGE+FX,333,115,10,10.467912587943502,True
20,2019,PULLBACK,PRICE,194,56,6,2.999127183478705,True
20,2019,PULLBACK,PRICE+SGE,194,56,9,4.8727645166610545,True
20,2019,PULLBACK,PRICE+FX,194,56,7,3.119426029307446,True
20,2019,PULLBACK,PRICE+SGE+FX,194,56,10,4.932040761048607,True
20,2019,WEAK,PRICE,421,40,6,2.337654455331478,True
20,2019,WEAK,PRICE+SGE,421,40,9,8.486530484421484,True
20,2019,WEAK,PRICE+FX,421,40,7,2.3499254592977716,True
20,2019,WEAK,PRICE+SGE+FX,421,40,10,8.540471455305635,True
20,2020,START,PRICE,253,15,6,2.2584513574135077,True
20,2020,START,PRICE+SGE,253,15,9,5.443821374267066,True
20,2020,START,PRICE+FX,253,15,7,2.3324841024465237,True
20,2020,START,PRICE+SGE+FX,253,15,10,5.572757957950072,True
20,2020,PERSIST,PRICE,466,134,6,3.529620976497195,True
20,2020,PERSIST,PRICE+SGE,466,134,9,10.612095299688528,True
20,2020,PERSIST,PRICE+FX,466,134,7,3.713460927921518,True
20,2020,PERSIST,PRICE+SGE+FX,466,134,10,10.852799958889815,True
20,2020,PULLBACK,PRICE,253,53,6,3.18507552493861,True
20,2020,PULLBACK,PRICE+SGE,253,53,9,4.618507881028357,True
20,2020,PULLBACK,PRICE+FX,253,53,7,3.2274492504604773,True
