Year,State,EligibleSessions
2013,START,0
2013,PERSIST,0
2013,PULLBACK,0
2013,WEAK,0
2014,START,41
2014,PERSIST,60
2014,PULLBACK,45
2014,WEAK,84
2015,START,60
2015,PERSIST,43
2015,PULLBACK,32
2015,WEAK,109
2016,START,24
2016,PERSIST,111
2016,PULLBACK,45
2016,WEAK,64
2017,START,61
2017,PERSIST,69
2017,PULLBACK,42
2017,WEAK,72
2018,START,50
2018,PERSIST,68
2018,PULLBACK,33
2018,WEAK,92
2019,START,33
2019,PERSIST,115
2019,PULLBACK,56
2019,WEAK,40
2020,START,15
2020,PERSIST,134
2020,PULLBACK,53
2020,WEAK,41
2021,START,63
2021,PERSIST,53
2021,PULLBACK,27
2021,WEAK,100
2022,START,32
2022,PERSIST,123
2022,PULLBACK,35
2022,WEAK,52
2023,START,1
2023,PERSIST,179
2023,PULLBACK,57
2023,WEAK,5
2024,START,4
2024,PERSIST,174
2024,PULLBACK,57
2024,WEAK,7
