Horizon,Year,State,TrainingN,EvaluationN,BaselineRank,ExtendedRank,Identifiable
20,2019,START,233,33,11,12,True
20,2019,PERSIST,330,115,11,12,True
20,2019,PULLBACK,188,56,11,12,True
20,2019,WEAK,416,40,11,12,True
20,2020,START,250,15,11,12,True
20,2020,PERSIST,463,133,11,12,True
20,2020,PULLBACK,247,53,11,12,True
20,2020,WEAK,451,41,11,12,True
20,2021,START,272,63,11,12,True
20,2021,PERSIST,596,53,11,12,True
20,2021,PULLBACK,300,27,11,12,True
20,2021,WEAK,485,100,11,12,True
20,2022,START,344,31,11,12,True
20,2022,PERSIST,642,123,11,12,True
20,2022,PULLBACK,326,35,11,12,True
20,2022,WEAK,584,52,11,12,True
20,2023,START,375,1,11,12,True
20,2023,PERSIST,759,179,11,12,True
20,2023,PULLBACK,354,56,11,12,True
20,2023,WEAK,649,5,11,12,True
20,2024,START,375,4,11,12,True
20,2024,PERSIST,934,158,11,12,True
20,2024,PULLBACK,417,51,11,12,True
20,2024,WEAK,652,7,11,12,True
60,2019,START,229,33,11,12,True
60,2019,PERSIST,308,115,11,12,True
60,2019,PULLBACK,177,56,11,12,True
60,2019,WEAK,415,40,11,12,True
60,2020,START,250,15,11,12,True
60,2020,PERSIST,463,133,11,12,True
60,2020,PULLBACK,225,53,11,12,True
60,2020,WEAK,433,41,11,12,True
60,2021,START,268,63,11,12,True
60,2021,PERSIST,596,53,11,12,True
60,2021,PULLBACK,290,27,11,12,True
60,2021,WEAK,459,100,11,12,True
60,2022,START,330,31,11,12,True
60,2022,PERSIST,632,123,11,12,True
60,2022,PULLBACK,326,35,11,12,True
60,2022,WEAK,568,52,11,12,True
60,2023,START,375,1,11,12,True
60,2023,PERSIST,719,179,11,12,True
60,2023,PULLBACK,354,56,11,12,True
60,2023,WEAK,649,5,11,12,True
60,2024,START,375,4,11,12,True
60,2024,PERSIST,916,131,11,12,True
60,2024,PULLBACK,399,38,11,12,True
60,2024,WEAK,649,7,11,12,True
