Baseline,Year,N,DeltaMSE,FeatureRankIC
PRICE,2019,244,-0.000001175596,-0.176329329488
PRICE,2020,243,0.000030755616,0.360947611569
PRICE,2021,243,0.000033852991,-0.046628731428
PRICE,2022,242,0.000080318879,0.329378842018
PRICE,2023,242,-0.000019276557,-0.169512758143
PRICE,2024,221,0.000054923708,0.201897784251
PRICE_VIX,2019,244,0.000000940863,-0.176329329488
PRICE_VIX,2020,243,0.000075351293,0.360947611569
PRICE_VIX,2021,243,0.000008646517,-0.046628731428
PRICE_VIX,2022,242,0.000087999694,0.329378842018
PRICE_VIX,2023,242,0.000004420088,-0.169512758143
PRICE_VIX,2024,221,0.000049448919,0.201897784251
PRICE_LIQUIDITY,2019,244,-0.000015038220,-0.176329329488
PRICE_LIQUIDITY,2020,243,0.000008658571,0.360947611569
PRICE_LIQUIDITY,2021,243,0.000038113368,-0.046628731428
PRICE_LIQUIDITY,2022,242,0.000053243647,0.329378842018
PRICE_LIQUIDITY,2023,242,-0.000017846829,-0.169512758143
PRICE_LIQUIDITY,2024,221,0.000035104907,0.201897784251
PRICE_VIX_LIQUIDITY,2019,244,-0.000000485681,-0.176329329488
PRICE_VIX_LIQUIDITY,2020,243,0.000053712239,0.360947611569
PRICE_VIX_LIQUIDITY,2021,243,0.000030806105,-0.046628731428
PRICE_VIX_LIQUIDITY,2022,242,0.000071286150,0.329378842018
PRICE_VIX_LIQUIDITY,2023,242,0.000000731683,-0.169512758143
PRICE_VIX_LIQUIDITY,2024,221,0.000049796725,0.201897784251
